dt_ecriture;exercice_comptable;nøpiece;nom_fichier;libelle;type;ttc;tva;ht;mode_rglt;etat_statut;idt_mode_reg;idt_statut;idt_ss_categorie
2012-10-29;2013;Facture N° 1058251;01-FAC_1058251.pdf;Amaury Media;Creation entreprise;131.08;21.48;109.6;CB PERSO;PAYE;4;1;25
2012-11-05;2013;Facture N° 12156205;02-FAC_12156205.pdf;INFO Greffe;Creation entreprise;83.96;13.76;70.2;CB PERSO;PAYE;4;1;25
2012-11-02;2013;Facture N° 120006;03-FAC_120006.pdf;MAAF Assurance;Souscription Assurance;18.02;;;CB PERSO;PAYE;4;1;18
2012-11-02;2013;Facture N° 12307016009512;"04-FAC_12307016009512-Page_1.pdf
04-FAC_12307016009512-Page_2.pdf";FNAC;Achat fourniture;12.39;2.03;10.36;CB PERSO;PAYE;4;1;40
2012-11-14;2013;Facture N° 12319015015168;05-FAC_12319015015168.pdf;FNAC;Achat fourniture;1.8;0.29;1.51;CB PERSO;PAYE;4;1;40
2012-11-15;2013;Facture N° 3452;05-FAC_3452.pdf;Restauration;Restaurant Wok by Tiger wok;52;48.6;3.4;CB PERSO;PAYE;4;1;15
2012-11-28;2013;Facture N° AD0624860;06-FAC_AD0624860.pdf;Assurance Multirisque Professionnelle;MAAF Assurance;227.35;18.76;208.59;CHEQUE PERSO;PAYE;2;1;18
2012-12-05;2013;Facture N° 031201212010167;07-FAC_031201212010167.pdf;Auchan;Achat matériel informatique;16.8;2.75;14.05;ESPECES;PAYE;6;1;21
2012-12-06;2013;Facture N° 031201212010228;08-FAC_031201212010228.pdf;Auchan;Achat matériel informatique;14.99;2.46;12.53;CB PERSO;PAYE;4;1;21
2012-12-08;2013;Facture N° 122731;09-FAC_122731.pdf;TS Micro;Achat matériel informatique;23;4.51;18.49;CB PERSO;PAYE;4;1;21
2012-12-17;2013;Facture N° 12352017006042;10-FAC_12352017006042.pdf;FNAC;Achat logiciel informatique;75.9;12.44;63.46;CB PERSO;PAYE;4;1;22
2012-12-24;2013;Prime N°991447;11-FAC_991447.pdf;Assurance Responsabilité Civile Pro;Frais HISCOX;226.83;;;PRLVT;;5;;17
2012-12-24;2013;Facture N° 306458744;12-FAC_306458744.pdf;Cdiscount;Achat matériel informatique;493.02;80.8;412.22;CB PERSO;PAYE;4;1;21
